,PCA0,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9
2228,-0.873079497121766,0.40901145444858683,-0.893477307643269,0.24821293557239546,-0.04796838312620477,-0.024856638594479084,0.028320108428670464,-0.02821072316866271,0.038692513620089145,-0.0011895641926620015
5910,-0.8634247847487979,0.3545837701826271,-0.5631833769668065,-0.42009452780548234,0.9769458604996647,0.09025117494263425,-0.035979567416013554,0.08489536569346308,0.026441012166077027,-0.24621824236987205
1950,0.6831269148425688,-0.6464308295640894,-0.055524157854626194,0.2518004969579638,-0.5209275989833683,0.1890171479656763,0.14097752440911462,-0.019595377540128547,-0.09735050782075429,-0.11223943451149944
2119,-0.8747951270456633,0.2929708524898641,0.041340903900100166,0.07226370103222628,-0.4608091622211406,0.14575651571807083,0.005832609025748335,0.09382137506200375,0.05869391085116219,-0.17031414027694397
5947,0.6857731682212345,-0.6564507310077554,0.08229781487813047,0.3462985724452543,-0.6278343401382446,0.1371352135534995,0.20102352923010305,0.33517800595202685,-0.04956231017512307,-0.16143128707741625
1664,-0.8770871229928269,0.3113323213000143,-0.11202211282935691,0.23128816792183576,-0.41449116012163073,-0.33997616184069707,0.1641026765084698,0.33377572717113185,0.08323253210787913,-0.18252999180134635
7140,-0.8769819692966297,0.23852180970815953,0.4898264566673597,0.028911722305895737,-0.6467850040917306,0.1545935146003953,0.08872241637068004,0.15987183401784252,0.061311493953364035,-0.20073374648302714
3695,0.6947678956485563,-0.704147159962294,0.27664925202797624,-0.6524133545050675,-0.2684622933382728,0.13440638876141264,-0.05493643672905838,-0.18872283711144064,-0.11661651982944034,-0.1561258791865202
5292,-0.8764737668104429,0.2542444144580066,0.2507197905203468,-0.17849887496604447,0.3551230359156536,-0.2686677151368114,0.3088180815960266,-0.003246726676842585,0.011736702157535289,0.11081798242204931
2145,0.6837142694983283,-0.6607008914942492,0.11793115704819494,0.42157505547067237,-0.7121405995221443,0.2763484102440916,0.05790436612692682,0.09347806737383604,-0.0733131970629013,-0.16853694840819075
5472,-0.8786213342809592,0.21482877190280278,0.649232722933728,0.22555822135675474,0.2465445064852857,0.10127285180317172,0.14981711417270838,-0.1896842577765088,-0.016617453052112763,-0.06826557706028273
1287,-0.8654239545858722,0.33164537420712986,-0.3767788007520947,-0.368109075845879,0.9144911495826242,-0.061062914307233186,0.06049511343914957,-0.024536325500020596,0.014391513286361915,0.09038347508619679
2762,-0.8758189395186108,0.27800392631677995,0.17367484996335994,0.15787464676545795,-0.5691384143896366,0.10386002494156202,0.12625314884945027,-0.05989881906968046,0.04491826424395863,0.2700389599298612
8826,-0.8674158474014847,0.2796969093235021,0.1472833188394769,-0.15807283519632992,-0.4076272816684514,0.11492202239341455,-0.039761694104576126,-0.1608763675198318,0.02913736663645438,0.11513501268807773
462,0.6869613450838542,-0.5346961017203962,-0.9104725155057359,0.4670995212919606,-0.1678041736343867,0.09563433096849083,0.27874503518083515,-0.04666262930719384,-0.11421512519052703,0.09445628907134646
2188,3.6409891295628705,-1.5271376748180412,-0.10587234964390604,-0.05610717182511667,-0.29950255868160447,-0.167832624241282,0.3466787189039344,-0.4350561319953433,1.7360950244459634,-0.23338004744462937
1963,0.6967880923059984,-0.6265392004292577,-0.29835818058076213,-0.6164609358474356,0.05294423264922608,0.35918169461781435,0.3238384876000234,-0.06622869749826067,-0.12507163581854164,0.14745746971945078
5952,-0.8813887978530996,0.32155350415127193,-0.18313214034233447,0.2736493857395434,-0.41294797014052803,0.267711587527726,0.21190990827690911,-0.1146453664744176,0.01736062770456136,0.0005340397892079152
5367,-0.8739214810115934,0.33566021475398045,-0.34409988518737555,-0.05928218048257083,-0.12744717163754088,-0.24803698365163948,0.3391663308099278,0.18692757352723358,0.05429381415178488,0.11567365082708654
3657,-0.87175694705752,0.2721622892562496,0.22381454971350107,0.13416804612460428,-0.6289021518275234,0.07372987836719914,-0.21974671006468438,0.10746693850270031,0.09620068401220831,0.03981155424740354
4276,0.6956880179326943,-0.5882579495859269,-0.6190759218487051,-0.22369292808247443,-0.04602474521022252,-0.09673147617333734,-0.0928132422783465,0.24826830699283972,-0.03271769731697476,-0.07682666151887489
9028,0.6913883510514676,-0.6817273977122001,0.19995213705820294,-0.11055759127969546,-0.5230515838780788,0.0890869546302694,-0.13243532162571556,0.37453328194511837,-0.013572138093205632,-0.18370271307300662
5625,-0.8708876784375189,0.3596488060842479,-0.5141191732946309,-0.027827863558745832,-0.06413481785553665,-0.2073991365354491,0.2744188404685984,0.016840873057285325,0.03188491634630381,0.19368853566330196
1253,0.6847630537143844,-0.5903140566484627,-0.49698128451167994,0.4724118983510426,-0.38702919418884507,-0.26016234543608535,0.13419556468214514,-0.014679082193765352,-0.08498761586662587,0.09620414526306142
4386,0.6981012743829135,-0.6598543013107194,-0.015229753522384117,-0.20706714444892127,-0.3961080682039725,-0.27822813390259205,-0.2839339045455456,-0.09578197994770492,-0.06516650196883042,0.08772063360543896
1153,-0.8720313712459129,0.2633565400807647,0.36407316544229945,0.4480971032972454,0.1836206494655391,0.3162137523609817,0.04200205188188396,0.2817806999951912,0.0955959411434778,0.3974210096947637
3216,0.7003773801138642,-0.7232097844342148,0.48657950521116533,-0.6559447635917932,-0.39662189010004856,0.15218224933305646,-0.1555018774075647,0.3621106275200588,-0.02744186336067835,-0.28324707719752923
8322,0.6835438031708466,-0.754963422968147,0.7223526924539134,-0.006163246174435028,0.24113533559315609,0.14698550363333102,-0.05158163951532267,-0.12232056477178194,-0.11012503260984133,-0.02033833151156163
7933,-0.8715075169854348,0.3719805829703085,-0.602503472349523,0.18259045871764412,-0.20266329090159907,-0.1592118222629267,-0.10180674437053987,-0.07544146241051418,0.04523522298458604,-0.015085776748740051
7436,0.7006220452204084,-0.5553104642816009,-0.8183816377021143,-0.11853812599136365,0.02245030353983376,-0.09088094459812239,0.011839593227214321,0.013535891181170209,-0.07790327262158143,0.20593426089116326
6034,-0.869052608133239,0.3940960415863892,-0.7468018733541341,0.170398932978357,-0.0636086667722559,-0.11171484671602237,0.16066171460325432,-0.04080638323980898,0.029015265398841066,0.13917580974972243
8221,-0.8671826657163038,0.3675246160104634,-0.6019046096942864,0.012406512823646663,-0.1385134183418839,-0.1479199677225589,-0.1999518203247234,-0.11949471762652615,0.04368916487129289,-0.08464585461783071
4180,0.6997226542974021,-0.7076694764045457,0.28469467485931227,-0.6522664257790471,-0.29905531608644276,-0.43852865205502506,-0.22992177444915926,0.1517308304615592,-0.037198044579215495,-0.08489208464238628
1684,0.6867571790457436,-0.6092791140376467,-0.41381542709659447,0.08465722496569059,-0.22780444717257814,-0.3153418807077831,0.18839413307577335,-0.09648976152305547,-0.12155898245812742,-0.16869975881271743
7030,-0.8814771496493774,0.2146768328200188,0.6529195123465377,0.3515508736971273,0.08460599329241242,0.1577221878255562,-0.1010027755692382,-0.18450156512293733,0.015448115968542111,-0.05713466260832663
1414,0.6881538980181344,-0.7116526129204251,0.42647011379326416,0.02589669677748701,0.4084852482975813,0.06848348697014786,0.16772763087108572,-0.11521803729777164,-0.13194526143658453,0.11198466064952657
1409,0.6797048314022943,-0.649018916891501,-0.050136387267342465,0.7395064670498286,0.2167068036492133,-0.2814258074699848,-0.08968734511036286,-0.05756029358195001,-0.09260790246775599,-0.03897210600141315
874,0.6895558288938922,-0.6884052555180324,0.16925629937189038,-0.5723761386207962,-0.1600309595528535,0.1239608633767358,0.36590296758271884,-0.207781940028872,-0.17139856129674255,-0.28393225158191815
1941,0.6896594750627384,-0.7282780975086642,0.5134627180313662,-0.2638850435439405,0.46795309447382033,0.29379109949639476,0.20526956231452131,-0.03435624515933495,-0.11266753611994143,0.27177084188975165
9768,0.6889798128169033,-0.6381932964966026,-0.09883737337749016,0.34523924636213393,-0.638398976351306,0.16732205848127651,-0.21845527763761396,-0.08429980140007658,-0.0563581584492201,0.20263318750545273
4453,-0.870303114125328,0.2368714591624339,0.4850482073493704,-0.2012507473454537,-0.5638592480029142,0.2691560761898339,-0.04942205879160946,0.08734718656632233,0.06816647895926667,-0.028777616262939794
4371,-0.8691948226279732,0.3495436059705843,-0.416397607540393,0.21298596983109458,-0.3512394979836156,-0.19010916389244506,-0.28105583515752797,0.0972816230122954,0.1003325348778017,0.04095092444802695
